"";"title";"first_name";"last_name";"full_name";"gender";"date_birth";"place_birth";"country_birth";"date_death";"religion";"family_stat";"occupation";"party";"time";"legislature";"elect_distr";"faction";"mandate_type"
"1";"Dr.";"Manfred";"Abelein";"Dr. Manfred Abelein";"männlich";"20.10.1930";"Stuttgart";NA;"17.01.2008";"katholisch";"keine Angaben";"Rechtsanwalt, Wirtschaftsprüfer, Universitätsprofessor";"CDU";1;"5";"174";"Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union";"Direktwahl"
"2";"Dr.";"Ernst";"Achenbach";"Dr. Ernst Achenbach";"männlich";"09.04.1909";"Siegen";NA;"02.12.1991";"evangelisch";"verheiratet, 3 Kinder";"Rechtsanwalt und Notar";"FDP";1;"3";NA;"Fraktion der Freien Demokratischen Partei";"Landesliste"
"3";"";"Annemarie";"Ackermann";"Annemarie Ackermann";"weiblich";"26.05.1913";"Parabutsch";"Jugoslawien";"18.02.1994";"katholisch";"verheiratet, 5 Kinder";"Hilfsreferentin";"CDU";1;"2";NA;"Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union";"Landesliste"
"4";"Dr.";"Else";"Ackermann";"Dr. Else Ackermann";"weiblich";"06.11.1933";"Berlin";NA;"14.09.2019";"evangelisch";"ledig";"Ärztin";"CDU";1;"11";NA;"Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union";"Volkskammer"
"5";"";"Ulrich";"Adam";"Ulrich Adam";"männlich";"09.06.1950";"Teterow, Kr. Teterow, Bezirk Neubrandenburg";NA;NA;"evangelisch";"verheiratet, 2 Kinder";"Mathematiker, Geschäftsführer";"CDU";1;"12";"268";"Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union";"Direktwahl"
"6";"";"Rudolf";"Adams";"Rudolf Adams";"männlich";"10.11.1919";"Masburg / Kreis Cochem";NA;"25.05.2013";"evangelisch";"verheiratet, 2 Kinder";"Gewerkschaftssekretär";"SPD";1;"5";NA;"Fraktion der Sozialdemokratischen Partei Deutschlands";"Landesliste"
"7";"";"Raban";"Adelmann";"Raban Adelmann";"männlich";"28.09.1912";"Düsseldorf";NA;"25.01.1992";"katholisch";"verheiratet, 4 Kinder";"Landwirt, Weingutbesitzer";"CDU";1;"3";"165";"Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union";"Direktwahl"
"8";"Dr.";"Konrad";"Adenauer";"Dr. Konrad Adenauer";"männlich";"05.01.1876";"Köln";NA;"19.04.1967";"katholisch";"keine Angaben";"Bundeskanzler a. D.";"CDU";1;"1";"10";"Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union";"Direktwahl"
"9";"";"Brigitte";"Adler";"Brigitte Adler";"weiblich";"22.06.1944";"Drangstedt / Krs. Wesermünde";NA;"25.10.2004";"evangelisch";"keine Angaben";"Reallehrerin";"SPD";1;"11";NA;"Fraktion der Sozialdemokratischen Partei Deutschlands";"Landesliste"
"10";"";"Eduard";"Adorno";"Eduard Adorno";"männlich";"31.10.1920";"München";NA;"28.12.2000";"katholisch";"verheiratet, 5 Kinder";"Dipl.-Landwirt, Landesminister a. D.";"CDU";1;"4";"195";"Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union";"Direktwahl"
"11";"Dr.";"Jochen";"Aerssen";"Dr. Jochen Aerssen";"männlich";"15.04.1941";"Kevelaer";NA;"09.01.1992";"katholisch";"verwitwet, 3 Kinder";"Rechtsanwalt, Diplom-Volkswirt";"CDU";1;"8";"83";"Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union";"Direktwahl"
"12";"";"Willi";"Agatz";"Willi Agatz";"männlich";"10.06.1904";"Essen";NA;"29.08.1957";"ohne Angaben";"keine Angaben";"Bergmann, Gewerkschaftsfunktionär";"KPD";1;"1";NA;"Fraktion der Kommunistischen Partei Deutschlands";"Landesliste"
"13";"";"Conrad";"Ahlers";"Conrad Ahlers";"männlich";"08.11.1922";"Hamburg";NA;"19.12.1980";"evangelisch";"verheiratet, 3 Kinder";"Journalist";"SPD";1;"7";"152";"Fraktion der Sozialdemokratischen Partei Deutschlands";"Direktwahl"
"14";"";"Adolf";"Ahrens";"Adolf Ahrens";"männlich";"17.09.1879";"Bremerhaven";NA;"21.01.1957";"evangelisch";"keine Angaben";"Kapitän a. D.";"DP";1;"1";NA;"Fraktion Deutsche Partei";"Landesliste"
"15";"";"Hermann";"Ahrens";"Hermann Ahrens";"männlich";"08.04.1902";"Jerstedt";NA;"14.07.1975";"ohne Angaben";"verheiratet";"Verwaltungsbeamter";"SPD";1;"5";NA;"Fraktion der SPD (Gast)";"Landesliste"
"16";"Dr.";"Karl";"Ahrens";"Dr. Karl Ahrens";"männlich";"13.03.1924";"Hilter / Teutoburger Wald";NA;"06.03.2015";"ohne Angaben";"verheiratet, 2 Kinder";"Ministerialdirigent a. D.";"SPD";1;"6";"42";"Fraktion der Sozialdemokratischen Partei Deutschlands";"Direktwahl"
"17";"Dr.";"Heinrich";"Aigner";"Dr. Heinrich Aigner";"männlich";"25.05.1924";"Ebrach";NA;"24.03.1988";"römisch-katholisch";"verheiratet, 3 Kinder";"Regierungsrat a. D.";"CSU";1;"3";"214";"Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union";"Direktwahl"
"18";"";"Siegbert";"Alber";"Siegbert Alber";"männlich";"27.07.1936";"Hechingen / Hohenzollern";NA;NA;"katholisch";"verheiratet, 1 Kind";"Regierungsrat a. D.";"CDU";1;"6";NA;"Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union";"Landesliste"
"19";"";"Johannes";"Albers";"Johannes Albers";"männlich";"08.03.1890";"Mönchengladbach";NA;"08.03.1963";"katholisch";"keine Angaben";"Geschäftsführer";"CDU";1;"1";"9";"Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union";"Direktwahl"
"20";"";"Luise";"Albertz";"Luise Albertz";"weiblich";"22.06.1901";"Duisburg";NA;"01.02.1979";"ohne Angaben";"keine Angaben";"Buchhalterin";"SPD";1;"1";NA;"Fraktion der Sozialdemokratischen Partei Deutschlands";"Landesliste"
"21";"";"Ina";"Albowitz";"Ina Albowitz";"weiblich";"26.04.1943";"Weimar / Thüringen";NA;NA;"evangelisch";"verheiratet, 1 Kind";"Werbekauffrau, Hausfrau";"FDP";1;"12";NA;"Fraktion der Freien Demokratischen Partei";"Landesliste"
"22";"";"Ernst";"Albrecht";"Ernst Albrecht";"männlich";"28.07.1914";"Greifswald";NA;"01.12.1991";"evangelisch";"verheiratet";"Kaufmann";"CDU";1;"2";NA;"Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union";"Landesliste"
"23";"";"Lisa";"Albrecht";"Lisa Albrecht";"weiblich";"27.05.1896";"Hamburg";NA;"16.05.1958";"ohne Angaben";"keine Angaben";"Sportlehrerin";"SPD";1;"1";NA;"Fraktion der Sozialdemokratischen Partei Deutschlands";"Landesliste"
"24";"";"Michael";"Albrecht";"Michael Albrecht";"männlich";"25.11.1947";"Riesa / Sachsen";NA;NA;"evangelisch-lutherisch";"verheiratet, 3 Kinder";"Schulamtsleiter";"CDU";1;"11";NA;"Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union";"Volkskammer"
"25";"";"Peter";"Alltschekow";"Peter Alltschekow";"männlich";"28.03.1949";"Rollshausen / Krs. Duderstadt";NA;NA;"ohne Angaben";"verheiratet, 2 Kinder";"Ministerialrat";"SPD";1;"12";NA;"Fraktion der Sozialdemokratischen Partei Deutschlands";"Landesliste"
"26";"";"Odal";"Alten-Nordheim";"Odal Alten-Nordheim";"männlich";"21.05.1922";"Holzminden";NA;"28.07.2004";"evangelisch";"verheiratet, 4 Kinder";"Land- und Forstwirt";"CDU";1;"6";NA;"Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union";"Landesliste"
"27";"Dr.";"Walter";"Althammer";"Dr. Walter Althammer";"männlich";"12.03.1928";"Augsburg";NA;NA;"katholisch";"verheiratet, 2 Kinder";"Rechtsanwalt";"CSU";1;"4";"237";"Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union";"Direktwahl"
"28";"Dr.";"Walter";"Altherr";"Dr. Walter Altherr";"männlich";"11.07.1946";"Kaiserslautern";NA;NA;"römisch-katholisch";"verheiratet, 3 Kinder";"Chirurg";"CDU";1;"12";NA;"Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union";"Landesliste"
"29";"";"Jakob";"Altmaier";"Jakob Altmaier";"männlich";"23.11.1889";"Flörsheim";NA;"08.02.1963";"ohne Angaben";"keine Angaben";"Journalist, Schriftsteller";"SPD";1;"1";"14";"Fraktion der Sozialdemokratischen Partei Deutschlands";"Direktwahl"
"30";"";"Wilhelm";"Altvater";"Wilhelm Altvater";"männlich";"12.08.1920";"Todtenhausen";NA;"04.02.2001";"ohne Angaben";"verheiratet, 1 Kind";"Schiffbauer";"SPD";1;"3";NA;"Fraktion der Sozialdemokratischen Partei Deutschlands";"Landesliste"
"31";"Dr.";"Rudolf";"Amelunxen";"Dr. Rudolf Amelunxen";"männlich";"30.06.1888";"Köln";NA;"21.04.1969";"ohne Angaben";"keine Angaben";"Jurist (Richter), Verwaltungsbeamter";"DZP";1;"1";NA;"Fraktion Deutsche Zentrums-Partei";"Landesliste"
"32";"";"Andreas";"Amende";"Andreas Amende";"männlich";"12.02.1955";"Leipzig";NA;NA;"ohne Angaben";"verheiratet, 2 Kinder";"Lokomotivführer";"SPD";1;"11";NA;"Fraktion der Sozialdemokratischen Partei Deutschlands";"Volkskammer"
"33";"";"Max";"Amling";"Max Amling";"männlich";"28.04.1934";"Eibelstadt / Unterfranken";NA;"07.04.2017";"katholisch";"verheiratet, 5 Kinder";"Installateur";"SPD";1;"7";"238";"Fraktion der Sozialdemokratischen Partei Deutschlands";"Direktwahl"
"34";"";"Franz";"Amrehn";"Franz Amrehn";"männlich";"23.11.1912";"Berlin";NA;"04.10.1981";"katholisch";"verheiratet";"Rechtsanwalt und Notar";"CDU";1;"6";NA;"Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union";"Landesliste"
"35";"";"Jürgen";"Anbuhl";"Jürgen Anbuhl";"männlich";"05.05.1940";"Berlin";NA;NA;"evangelisch";"verheiratet, 2 Kinder";"Studienrat";"SPD";1;"6";NA;"Fraktion der Sozialdemokratischen Partei Deutschlands";"Landesliste"
"36";"";"Artur";"Anders";"Artur Anders";"männlich";"21.01.1896";"Breslau";NA;"13.07.1976";"katholisch";"verheiratet";"Stadtdirektor a. D.";"SPD";1;"4";NA;"Fraktion der Sozialdemokratischen Partei Deutschlands";"Landesliste"
"37";"Dr. h. c.";"Gerd";"Andres";"Dr. h. c. Gerd Andres";"männlich";"08.04.1951";"Wirges / Westerwald";NA;NA;"ohne Angaben";"verheiratet, 3 Kinder";"Maschinenschlosser, Gewerkschaftssekretär, Parl. Staatssekretär a. D.";"SPD";1;"11";"36";"Fraktion der Sozialdemokratischen Partei Deutschlands";"Direktwahl"
"38";"";"Joachim";"Angermeyer";"Joachim Angermeyer";"männlich";"18.12.1923";"Hamburg";NA;"08.05.1997";"ohne Angaben";"verheiratet, 2 Kinder";"Speditionsunternehmer";"FDP";1;"8";NA;"Fraktion der Freien Demokratischen Partei";"Landesliste"
"39";"";"Dieter";"Annies";"Dieter Annies";"männlich";"01.12.1942";"Elbing / Ostpreußen";NA;NA;"evangelisch";"verheiratet, 2 Kinder";"Klemtner, Installateurmeister";"FDP";1;"11";NA;"Fraktion der Freien Demokratischen Partei";"Volkskammer"
"40";"";"Maria";"Ansorge";"Maria Ansorge";"weiblich";"15.12.1880";"Loechau";NA;"11.07.1955";"konfessionslos";"keine Angaben";"Textilarbeiterin";"SPD";1;"1";NA;"Fraktion der Sozialdemokratischen Partei Deutschlands";"Landesliste"
"41";"";"Robert";"Antretter";"Robert Antretter";"männlich";"05.02.1939";"München";NA;NA;"katholisch";"verheiratet, 4 Kinder";"Landesgeschäftsführer";"SPD";1;"9";NA;"Fraktion der Sozialdemokratischen Partei Deutschlands";"Landesliste"
"42";"Dr.";"Hans";"Apel";"Dr. Hans Apel";"männlich";"25.02.1932";"Hamburg";NA;"06.09.2011";"evangelisch";"verheiratet, 2 Kinder";"Bundesminister a. D.";"SPD";1;"5";"15";"Fraktion der Sozialdemokratischen Partei Deutschlands";"Direktwahl"
"43";"";"Walter";"Arendt";"Walter Arendt";"männlich";"17.01.1925";"Heessen, Krs. Beckum / Westfalen";NA;"07.03.2005";"ohne Angaben";"verheiratet, 1 Kind";"Bundesminister a. D.";"SPD";1;"4";"99";"Fraktion der Sozialdemokratischen Partei Deutschlands";"Direktwahl"
"44";"";"Anton";"Aretin";"Anton Aretin";"männlich";"15.08.1918";"München";NA;"12.06.1981";"katholisch";"keine Angaben";"Rechtsanwalt";"FU";1;"1";"18";"Fraktion Bayernpartei";"Direktwahl"
"45";"";"Josef";"Arndgen";"Josef Arndgen";"männlich";"24.02.1894";"Rheydt";NA;"20.09.1966";"katholisch";"verheiratet";"Minister a. D.";"CDU";1;"1";"12";"Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union";"Direktwahl"
"46";"Dr.";"Adolf";"Arndt";"Dr. Adolf Arndt";"männlich";"12.03.1904";"Königsberg";NA;"13.02.1974";"ohne Angaben";"verheiratet, 2 Kinder";"Rechtsanwalt";"SPD";1;"1";"5";"Fraktion der Sozialdemokratischen Partei Deutschlands";"Direktwahl"
"47";"Prof. Dr.";"Claus";"Arndt";"Prof. Dr. Claus Arndt";"männlich";"16.04.1927";"Marburg / Lahn";NA;"10.02.2014";"ohne Angaben";"verheiratet, 3 Kinder";"Senatsdirektor";"SPD";1;"5";NA;"Fraktion der Sozialdemokratischen Partei Deutschlands";"Landesliste"
"48";"Dr.";"Klaus Dieter";"Arndt";"Dr. Klaus Dieter Arndt";"männlich";"09.03.1927";"Berlin";NA;"29.01.1974";"evangelisch";"verheiratet, 4 Kinder";"Volkswirt";"SPD";1;"5";NA;"Fraktion der Sozialdemokratischen Partei Deutschlands";"Landesliste"
"49";"";"Otto";"Arnholz";"Otto Arnholz";"männlich";"12.04.1894";"Berlin";NA;"07.10.1988";"ohne Angaben";"keine Angaben";"Verwaltungsbeamter a. D.";"SPD";1;"1";"28";"Fraktion der Sozialdemokratischen Partei Deutschlands";"Direktwahl"
"50";"Dr.";"Gottfried";"Arnold";"Dr. Gottfried Arnold";"männlich";"10.02.1933";"Düsseldorf";NA;"28.12.2015";"katholisch";"verheiratet, 3 Kinder";"Rechtsanwalt";"CDU";1;"4";"78";"Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union";"Direktwahl"
"51";"Dr.";"Karl";"Arnold";"Dr. Karl Arnold";"männlich";"21.03.1901";"Herrlishöfen";NA;"29.06.1958";"katholisch";"verheiratet";"Ministerpräsident a. D.";"CDU";1;"3";"62";"Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union";"Direktwahl"
"52";"";"Thea";"Arnold";"Thea Arnold";"weiblich";"11.12.1882";"Fulda";NA;"26.01.1966";"ohne Angaben";"keine Angaben";"Rektorin a. D.";"FU";1;"1";NA;"Fraktion Deutsche Zentrums-Partei";"Landesliste"
"53";"Dr.";"Helmut";"Artzinger";"Dr. Helmut Artzinger";"männlich";"22.04.1912";"Bergisch Gladbach";NA;"02.10.1996";"evangelisch";"verheiratet, 2 Kinder";"Prokurist";"CDU";1;"4";"180";"Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union";"Direktwahl"
"54";"Dr.";"Albrecht";"Aschoff";"Dr. Albrecht Aschoff";"männlich";"11.04.1899";"Berlin";NA;"11.08.1972";"evangelisch";"2 Kinder";"Rechtsanwalt";"FDP";1;"4";NA;"Fraktion der Freien Demokratischen Partei";"Landesliste"
"55";"";"Heinz";"Assmann";"Heinz Assmann";"männlich";"19.07.1931";"Gelsenkirchen-Buer";NA;NA;"ohne Angaben";"verheiratet, 1 Kind";"Bezirksleiter, Gewerkschaftssekretär";"SPD";1;"9";NA;"Fraktion der Sozialdemokratischen Partei Deutschlands";"Landesliste"
"56";"Dr.";"Karl";"Atzenroth";"Dr. Karl Atzenroth";"männlich";"22.09.1895";"Köln";NA;"18.06.1995";"ohne Angaben";"verheiratet";"Fabrikant";"FDP";1;"1";NA;"Fraktion der Freien Demokratischen Partei";"Landesliste"
"57";"";"Dieter";"Auch";"Dieter Auch";"männlich";"12.04.1941";"Stuttgart";NA;NA;"ohne Angaben";"verheiratet, 2 Kinder";"Werkzeugmacher, Geschäftsführer";"SPD";1;"9";NA;"Fraktion der Sozialdemokratischen Partei Deutschlands";"Landesliste"
"58";"";"Heinrich";"Auge";"Heinrich Auge";"männlich";"03.02.1898";"Recklinghausen";NA;"21.02.1977";"katholisch";"verheiratet, 3 Kinder";"Rektor a. D., Oberbürgermeister";"SPD";1;"3";NA;"Fraktion der Sozialdemokratischen Partei Deutschlands";"Landesliste"
"59";"";"Hans-Jürgen";"Augstein";"Hans-Jürgen Augstein";"männlich";"16.01.1925";"Königsberg / Ostpreußen";NA;"07.10.2001";"ohne Angaben";"verheiratet, 4 Kinder";"Rechtsanwalt";"SPD";1;"7";"112";"Fraktion der Sozialdemokratischen Partei Deutschlands";"Direktwahl"
"60";"";"Rudolf";"Augstein";"Rudolf Augstein";"männlich";"05.11.1923";"Hannover";NA;"07.11.2002";"ohne Angaben";"verheiratet, 4 Kinder";"Verleger";"FDP";1;"7";NA;"Fraktion der Freien Demokratischen Partei";"Landesliste"
"61";"";"Anneliese";"Augustin";"Anneliese Augustin";"weiblich";"24.04.1930";"Kassel";NA;NA;"evangelisch";"verheiratet, 2 Kinder";"Apothekerin";"CDU";1;"10";NA;"Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union";"Landesliste"
"62";"";"Jürgen";"Augustinowitz";"Jürgen Augustinowitz";"männlich";"10.06.1964";"Rüthen";NA;NA;"katholisch";"ledig";"Bankkaufmann";"CDU";1;"12";"118";"Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union";"Direktwahl"
"63";"";"Hendrik";"Auhagen";"Hendrik Auhagen";"männlich";"25.05.1951";"Celle";NA;NA;"ohne Angaben";"keine Angaben";"Studienassessor";"GRÜNE";1;"10";NA;"Fraktion Die Grünen";"Landesliste"
"64";"";"Hermann";"Aumer";"Hermann Aumer";"männlich";"30.04.1915";"München";NA;"30.05.1955";"katholisch";"keine Angaben";"Staatskommissar a. D.";"BP";1;"1";"3";"Fraktion Bayernpartei";"Direktwahl"
"65";"";"Dietrich";"Austermann";"Dietrich Austermann";"männlich";"22.10.1941";"Berlin";NA;NA;"katholisch";"verheiratet, 4 Kinder";"Rechtsanwalt, Stadtdirektor a. D., LM a. D.";"CDU";1;"9";NA;"Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union";"Landesliste"
"66";"";"Herbert";"Baack";"Herbert Baack";"männlich";"03.02.1921";"Witten";NA;"05.07.2006";"evangelisch";"verheiratet, 1 Kind";"Oberwerkmeister";"SPD";1;"6";"118";"Fraktion der Sozialdemokratischen Partei Deutschlands";"Direktwahl"
"67";"Dr.";"Fritz";"Baade";"Dr. Fritz Baade";"männlich";"23.01.1893";"Neuruppin";NA;"15.05.1974";"evangelisch";"verheiratet";"o. Universitätsprofessor";"SPD";1;"1";NA;"Fraktion der Sozialdemokratischen Partei Deutschlands";"Landesliste"
"68";"Dr.";"Gisela";"Babel";"Dr. Gisela Babel";"weiblich";"23.05.1938";"Berlin";NA;NA;"ohne Angaben";"verheiratet, 3 Kinder";"Hausfrau";"FDP";1;"12";NA;"Fraktion der Freien Demokratischen Partei";"Landesliste"
"69";"Dr.";"Franz Josef";"Bach";"Dr. Franz Josef Bach";"männlich";"04.02.1917";"Neuss";NA;"03.08.2001";"katholisch";"verheiratet, 2 Kinder";"Botschafter a. D.";"CDU";1;"6";"53";"Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union";"Direktwahl"
"70";"";"Robert";"Bach";"Robert Bach";"männlich";"07.12.1901";"Limbach";NA;"10.06.1976";"evangelisch";"verheiratet, 1 Kind";"Bergmann";"SPD";1;"3";NA;"Fraktion der Sozialdemokratischen Partei Deutschlands";"Landesliste"
"71";"";"Hermann";"Bachmaier";"Hermann Bachmaier";"männlich";"05.07.1939";"Crailsheim / Baden-Württemberg";NA;NA;"evangelisch";"verheiratet";"Rechtsanwalt";"SPD";1;"10";NA;"Fraktion der Sozialdemokratischen Partei Deutschlands";"Landesliste"
"72";"";"Harri";"Bading";"Harri Bading";"männlich";"23.05.1901";"Berlin";NA;"12.06.1981";"ohne Angaben";"verheiratet, 2 Kinder";"Dipl.-Landwirt";"SPD";1;"3";NA;"Fraktion der Sozialdemokratischen Partei Deutschlands";"Landesliste"
"73";"Dr.";"Siegfried";"Bärsch";"Dr. Siegfried Bärsch";"männlich";"14.02.1920";"Frankenberg";NA;"01.09.2008";"ohne Angaben";"verheiratet";"Arzt";"SPD";1;"1";"2";"Fraktion der Sozialdemokratischen Partei Deutschlands";"Direktwahl"
"74";"";"Hans-Joachim";"Baeuchle";"Hans-Joachim Baeuchle";"männlich";"15.04.1922";"Freiburg";NA;"11.11.2007";"katholisch";"verheiratet, 5 Kinder";"Bürgermeister";"SPD";1;"6";NA;"Fraktion der Sozialdemokratischen Partei Deutschlands";"Landesliste"
"75";"";"Willi";"Bäuerle";"Willi Bäuerle";"männlich";"24.03.1926";"Weinheim / Bergstraße";NA;"01.02.1996";"ohne Angaben";"verheiratet, 2 Kinder";"Technischer Zeichner";"SPD";1;"4";NA;"Fraktion der Sozialdemokratischen Partei Deutschlands";"Landesliste"
"76";"";"Rudolf";"Bäumer";"Rudolf Bäumer";"männlich";"29.11.1901";"Ennigloh";NA;"25.09.1973";"ohne Angaben";"verheiratet, 1 Kind";"Geschäftsführer";"SPD";1;"3";NA;"Fraktion der Sozialdemokratischen Partei Deutschlands";"Landesliste"
"77";"";"Wilhelm";"Bahlburg";"Wilhelm Bahlburg";"männlich";"27.10.1888";"Jesteburg";NA;"17.02.1958";"ohne Angaben";"keine Angaben";"Baumeister";"DP";1;"1";"14";"Fraktion Deutsche Partei";"Direktwahl"
"78";"";"Dietrich";"Bahner";"Dietrich Bahner";"männlich";"08.06.1939";"Berlin";NA;"21.05.2009";"evangelisch";"verheiratet, 2 Kinder";"Dipl.-Kaufmann, mittelständiger Unternehmer";"CDU";1;"8";NA;"Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union";"Landesliste"
"79";"Prof.";"Egon";"Bahr";"Prof. Egon Bahr";"männlich";"18.03.1922";"Treffurt / Thüringen";NA;"19.08.2015";"ohne Angaben";"verheiratet, 2 Kinder";"Abgeordneter, Bundesminister a. D.";"SPD";1;"7";NA;"Fraktion der Sozialdemokratischen Partei Deutschlands";"Landesliste"
"80";"";"Fritz";"Baier";"Fritz Baier";"männlich";"02.06.1923";"Chmeleschen / Bzk. Karlsbad (Sudetenland)";NA;"01.03.2012";"katholisch";"verheiratet, 7 Kinder";"Angestellter, Oberbürgermeister a. D.";"CDU";1;"2";NA;"Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union";"Landesliste"
"81";"";"Albert";"Baldauf";"Albert Baldauf";"männlich";"08.12.1917";"Saarlouis-Beaumarais";NA;"25.10.1991";"katholisch";"verheiratet, 1 Kind";"Elektromeister";"CDU";1;"3";"245";"Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union";"Direktwahl"
"82";"Dr.";"Siegfried";"Balke";"Dr. Siegfried Balke";"männlich";"01.06.1902";"Bochum";NA;"11.06.1984";"evangelisch";"verheiratet";"Honorarprofessor, Senator e.h., Chemiker";"CSU";1;"3";"200";"Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union";"Direktwahl"
"83";"";"Bernhard";"Balkenhol";"Bernhard Balkenhol";"männlich";"16.11.1914";"Elpe";NA;"09.11.2004";"katholisch";"verheiratet, 2 Kinder";"Einzelhandelskaufmann";"CDU";1;"3";"123";"Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union";"Direktwahl"
"84";"";"Hans";"Bals";"Hans Bals";"männlich";"15.08.1917";"Freising";NA;"23.10.2004";"katholisch";"verheiratet";"Angestellter";"SPD";1;"2";NA;"Fraktion der Sozialdemokratischen Partei Deutschlands";"Landesliste"
"85";"Dr.";"Frolinde";"Balser";"Dr. Frolinde Balser";"weiblich";"06.09.1924";"Ober-Ingelheim am Rhein / Kreis Bingen";NA;"04.11.2012";"evangelisch";"ledig";"Wissenschaftliche Mitarbeiterin";"SPD";1;"8";NA;"Fraktion der Sozialdemokratischen Partei Deutschlands";"Landesliste"
"86";"";"Andreas";"Baltes";"Andreas Baltes";"männlich";"19.12.1930";"Hüttigweiler";NA;"31.01.2001";"katholisch";"verheiratet, 1 Kind";"Dipl.-Volkswirt, Dozent";"SPD";1;"5";NA;"Fraktion der Sozialdemokratischen Partei Deutschlands";"Landesliste"
"87";"";"Georg";"Bamberg";"Georg Bamberg";"männlich";"09.01.1936";"Rosenheim / Bayern";NA;NA;"ohne Angaben";"verheiratet, 2 Kinder";"Bundesbahnamtmann a. D.";"SPD";1;"9";NA;"Fraktion der Sozialdemokratischen Partei Deutschlands";"Landesliste"
"88";"Dr.";"Martin";"Bangemann";"Dr. Martin Bangemann";"männlich";"15.11.1934";"Wanzleben bei Magdeburg";NA;NA;"ohne Angaben";"verheiratet, 5 Kinder";"Jurist, Bundesminister a. D.";"FDP";1;"8";NA;"Fraktion der Freien Demokratischen Partei";"Landesliste"
"89";"";"Wilhelm";"Banse";"Wilhelm Banse";"männlich";"18.04.1911";"Köln";NA;"16.04.1965";"ohne Angaben";"verheiratet, 2 Kinder";"Journalist";"SPD";1;"2";"144";"Fraktion der Sozialdemokratischen Partei Deutschlands";"Direktwahl"
"90";"";"Angelika";"Barbe";"Angelika Barbe";"weiblich";"26.11.1951";"Brandenburg";NA;NA;"evangelisch";"verheiratet, 3 Kinder";"Dipl.-Biologin";"SPD";1;"11";NA;"Fraktion der Sozialdemokratischen Partei Deutschlands";"Volkskammer"
"91";"";"Hermann";"Barche";"Hermann Barche";"männlich";"29.07.1913";"Hannover";NA;"28.11.2001";"freireligiös";"verheiratet, 2 Kinder";"Angestellter";"SPD";1;"5";NA;"Fraktion der Sozialdemokratischen Partei Deutschlands";"Landesliste"
"92";"Dr.";"Sabine";"Bard";"Dr. Sabine Bard";"weiblich";"27.11.1946";"Rinteln / Weser";NA;"21.02.2016";"ohne Angaben";"unverheiratet, 1 Pflegekind";"Tierärztin";"GRÜNE";1;"10";NA;"Fraktion Die Grünen";"Landesliste"
"93";"Dr.";"Hans";"Bardens";"Dr. Hans Bardens";"männlich";"26.01.1927";"Ludwigshafen";NA;"20.03.2003";"ohne Angaben";"verheiratet, 2 Kinder";"Facharzt für innere Medizin";"SPD";1;"5";"159";"Fraktion der Sozialdemokratischen Partei Deutschlands";"Direktwahl"
"94";"";"Heinz-Günter";"Bargfrede";"Heinz-Günter Bargfrede";"männlich";"20.01.1942";"Zeven, Krs. Rotenburg / Wümme";NA;NA;"evangelisch";"verheiratet, 1 Kind";"Postbeamter a.D.";"CDU";1;"12";"30";"Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union";"Direktwahl"
"95";"";"Heinrich";"Barlage";"Heinrich Barlage";"männlich";"06.12.1891";"Nordhorn";NA;"18.04.1968";"katholisch";"keine Angaben";"Baustoffgroßhändler";"CDU";1;"2";"26";"Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union";"Direktwahl"
"96";"Dr.";"Wolfgang";"Bartels";"Dr. Wolfgang Bartels";"männlich";"23.08.1903";"Münster";NA;"13.12.1975";"evangelisch";"verheiratet, 2 Kinder";"Rechtsanwalt und Notar";"CDU";1;"3";NA;"Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union";"Landesliste"
