"";"title";"first_name";"last_name";"full_name";"gender";"date_birth";"place_birth";"country_birth";"date_death";"religion";"family_stat";"occupation";"party";"time";"legislature";"elect_distr";"faction";"mandate_type"
"3238";"";"Petra";"Hinz";"Petra Hinz";"weiblich";"10.06.1962";"Essen";NA;NA;"evangelisch";NA;"Moderatorin (Moderation und Kommunikation)";"SPD";1;"16";"121";"Fraktion der Sozialdemokratischen Partei Deutschlands";"Direktwahl"
"3239";"";"Priska";"Hinz";"Priska Hinz";"weiblich";"10.03.1959";"Diez / Lahn";NA;NA;NA;"verheiratet, 2 Kinder";"Erzieherin, Staatsministerin a. D.";"BÜNDNIS 90/DIE GRÜNEN";1;"16";NA;"Fraktion Bündnis 90/Die Grünen";"Landesliste"
"3240";"";"Cornelia";"Hirsch";"Cornelia Hirsch";"weiblich";"16.01.1980";"Stuttgart";NA;NA;"evangelisch";"ledig";"Asienwissenschaftlerin";"DIE LINKE.";1;"16";NA;"Fraktion DIE LINKE.";"Landesliste"
"3241";"";"Elke";"Hoff";"Elke Hoff";"weiblich";"20.06.1957";"Unkel / Rhein";NA;NA;"römisch-katholisch";"verheiratet, 3 Kinder";"Vizepräsidentin SGD Nord a. D.";"FDP";1;"16";NA;"Fraktion der Freien Demokratischen Partei";"Landesliste"
"3242";"Dr.";"Anton";"Hofreiter";"Dr. Anton Hofreiter";"männlich";"02.02.1970";"München";NA;NA;NA;"ledig";"Dipl.-Biologe";"BÜNDNIS 90/DIE GRÜNEN";1;"16";NA;"Fraktion Bündnis 90/Die Grünen";"Landesliste"
"3243";"";"Inge";"Höger-Neuling";"Inge Höger-Neuling";"weiblich";"29.10.1950";"Diepholz";NA;NA;NA;"1 Kind";"Dipl.-Betriebswirtin";"DIE LINKE.";1;"16";NA;"Fraktion DIE LINKE.";"Landesliste"
"3244";"";"Bärbel";"Höhn";"Bärbel Höhn";"weiblich";"04.05.1952";"Flensburg";NA;NA;NA;"verheiratet, 2 Kinder";"Diplom-Mathematikerin";"BÜNDNIS 90/DIE GRÜNEN";1;"16";NA;"Fraktion Bündnis 90/Die Grünen";"Landesliste"
"3245";"";"Franz-Josef";"Holzenkamp";"Franz-Josef Holzenkamp";"männlich";"08.01.1960";"Altenoythe";NA;NA;"römisch-katholisch";"verheiratet, 4 Kinder";"Landwirtschaftsmeister, Industriekaufmann";"CDU";1;"16";"33";"Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union";"Direktwahl"
"3246";"";"Anette";"Hübinger";"Anette Hübinger";"weiblich";"09.07.1955";"Neunkirchen / Saar";NA;NA;"katholisch";"verheiratet, 1 Kind";"Juristin";"CDU";1;"16";NA;"Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union";"Landesliste"
"3247";"Dr.";"Lukrezia";"Jochimsen";"Dr. Lukrezia Jochimsen";"weiblich";"01.03.1936";"Nürnberg";NA;NA;"ohne Angaben";"keine Angaben";"Publizistin";"DIE LINKE.";1;"16";NA;"Fraktion DIE LINKE.";"Landesliste"
"3248";"Dr.";"Hans-Heinrich";"Jordan";"Dr. Hans-Heinrich Jordan";"männlich";"26.09.1948";"Jübar";NA;"18.06.2019";"evangelisch";"verheiratet, 2 Kinder";"Dipl.-Agraringenieur";"CDU";1;"16";NA;"Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union";"Landesliste"
"3249";"";"Johannes";"Jung";"Johannes Jung";"männlich";"27.03.1967";"Karlsruhe";NA;NA;"ohne Angaben";"verheiratet";"Politikwissenschaftler MA, wissenschaftlicher Mitarbeiter";"SPD";1;"16";NA;"Fraktion der Sozialdemokratischen Partei Deutschlands";"Landesliste"
"3250";"";"Andreas";"Jung";"Andreas Jung";"männlich";"13.05.1975";"Freiburg / Breisgau";NA;NA;"katholisch";"verheiratet, 2 Kinder";"Rechtsanwalt";"CDU";1;"16";"288";"Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union";"Direktwahl"
"3251";"Dr.";"Franz Josef";"Jung";"Dr. Franz Josef Jung";"männlich";"05.03.1949";"Erbach / Rheingau";NA;NA;"katholisch";"verheiratet, 3 Kinder";"Rechtsanwalt und Notar, Bundesminister a. D.";"CDU";1;"16";NA;"Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union";"Landesliste"
"3252";"";"Josip";"Juratovic";"Josip Juratovic";"männlich";"15.01.1959";"Koprvnica";"Kroatien";NA;"römisch-katholisch";"verheiratet, 3 Kinder";"Kfz.-Mechaniker";"SPD";1;"16";NA;"Fraktion der Sozialdemokratischen Partei Deutschlands";"Landesliste"
"3253";"";"Hans-Werner";"Kammer";"Hans-Werner Kammer";"männlich";"16.06.1948";"Varel";NA;NA;"evangelisch";"verheiratet, 1 Kind";"Baukaufmann";"CDU";1;"16";"27";"Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union";"Landesliste"
"3254";"";"Alois";"Karl";"Alois Karl";"männlich";"22.11.1950";"Neumarkt";NA;NA;"römisch-katholisch";"verheiratet, 2 Kinder";"Oberbürgermeister a. D., Rechtsanwalt";"CSU";1;"16";"233";"Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union";"Direktwahl"
"3255";"Dr.";"Hakki";"Keskin";"Dr. Hakki Keskin";"männlich";"12.02.1943";"Macka";"Türkei";NA;"Islam";"2 Kinder";"Professor für Politik und Migrationspolitik";"DIE LINKE.";1;"16";NA;"Fraktion DIE LINKE.";"Landesliste"
"3256";"";"Katja";"Kipping";"Katja Kipping";"weiblich";"18.01.1978";"Dresden";NA;NA;"ohne Angaben";"verheiratet, 1 Kind";"Slawistin,  Literaturwissenschaftlerin";"DIE LINKE.";1;"16";NA;"Fraktion DIE LINKE.";"Landesliste"
"3257";"";"Christian";"Kleiminger";"Christian Kleiminger";"männlich";"27.12.1965";"Nahne";NA;NA;"evangelisch-lutherisch";"ledig";"Rechtsanwalt";"SPD";1;"16";"14";"Fraktion der Sozialdemokratischen Partei Deutschlands";"Direktwahl"
"3258";"";"Ute";"Koczy";"Ute Koczy";"weiblich";"09.06.1961";"Heidenheim / Brenz";NA;NA;"ohne Angaben";"verheiratet";"Kulturwissenschaftlerin";"BÜNDNIS 90/DIE GRÜNEN";1;"16";NA;"Fraktion Bündnis 90/Die Grünen";"Landesliste"
"3259";"";"Jens";"Koeppen";"Jens Koeppen";"männlich";"27.09.1962";"Zeitz";NA;NA;"evangelisch";"verheiratet, 1 Kind";"Elektro-Techniker, Unternehmer";"CDU";1;"16";NA;"Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union";"Landesliste"
"3260";"";"Jan";"Korte";"Jan Korte";"männlich";"05.04.1977";"Osnabrück";NA;NA;"ohne Angaben";"verheiratet, 2 Kinder";"Politikwissenschaftler M. A.";"DIE LINKE.";1;"16";NA;"Fraktion DIE LINKE.";"Landesliste"
"3261";"Dr.";"Rolf";"Koschorrek";"Dr. Rolf Koschorrek";"männlich";"17.06.1956";"Bad Bramstedt";NA;"12.01.2020";"evangelisch";"verheiratet, 1 Kind";"Zahnarzt";"CDU";1;"16";"3";"Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union";"Direktwahl"
"3262";"";"Sylvia";"Kotting-Uhl";"Sylvia Kotting-Uhl";"weiblich";"29.12.1952";"Karlsruhe";NA;NA;"ohne Angaben";"2 Kinder";"Dozentin";"BÜNDNIS 90/DIE GRÜNEN";1;"16";NA;"Fraktion Bündnis 90/Die Grünen";"Landesliste"
"3263";"";"Johann-Henrich";"Krummacher";"Johann-Henrich Krummacher";"männlich";"27.12.1946";"Heidelberg";NA;"25.02.2008";"evangelisch";"verheiratet, 6 Kinder";"Pfarrer, Akademiedirektor a. D.";"CDU";1;"16";"259";"Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union";"Direktwahl"
